strong,12000,1,10,0.000420
strong,12000,2,10,0.000220
strong,12000,3,10,0.000156
strong,12000,4,10,0.000133
strong,12000,5,10,0.000102
strong,12000,6,10,0.000100
strong,12000,7,10,0.000088
strong,12000,8,10,0.000074
strong,12000,9,10,0.000073
strong,12000,10,10,0.000074
strong,12000,11,10,0.000073
strong,12000,12,10,0.000065
weak,1200,1,10,0.000050
weak,2400,2,10,0.000063
weak,3600,3,10,0.000056
weak,4800,4,10,0.000064
weak,6000,5,10,0.000069
weak,7200,6,10,0.000061
weak,8400,7,10,0.000073
weak,9600,8,10,0.000066
weak,10800,9,10,0.000073
weak,12000,10,10,0.000080
weak,13200,11,10,0.000098
weak,14400,12,10,0.000123
strong,18238420,1,10,0.625800
strong,18238420,2,10,0.313241
strong,18238420,3,10,0.208835
strong,18238420,4,10,0.156640
strong,18238420,5,10,0.125355
strong,18238420,6,10,0.104464
strong,18238420,7,10,0.089605
strong,18238420,8,10,0.078451
strong,18238420,9,10,0.071956
strong,18238420,10,10,0.062734
strong,18238420,11,10,0.057054
strong,18238420,12,10,0.052331
weak,1823842,1,10,0.062622
weak,3647684,2,10,0.062632
weak,5471526,3,10,0.062652
weak,7295368,4,10,0.062670
weak,9119210,5,10,0.062747
weak,10943052,6,10,0.062767
weak,12766894,7,10,0.064310
weak,14590736,8,10,0.062763
weak,16414578,9,10,0.062738
weak,18238420,10,10,0.062752
weak,20062262,11,10,0.062723
weak,21886104,12,10,0.064744
strong,27720000000,1,10,951.092058
strong,27720000000,2,10,475.566766
strong,27720000000,3,10,317.141902
strong,27720000000,4,10,237.885439
strong,27720000000,5,10,190.295899
strong,27720000000,6,10,158.598986
strong,27720000000,7,10,135.896984
strong,27720000000,8,10,118.914883
strong,27720000000,9,10,105.740364
strong,27720000000,10,10,95.135836
strong,27720000000,11,10,86.487697
strong,27720000000,12,10,79.398570
weak,2772000000,1,10,98.232369
weak,5544000000,2,10,95.112406
weak,8316000000,3,10,95.116334
weak,11088000000,4,10,95.121100
weak,13860000000,5,10,97.506942
weak,16632000000,6,10,95.142403
weak,19404000000,7,10,97.530777
weak,22176000000,8,10,95.131428
weak,24948000000,9,10,95.133383
weak,27720000000,10,10,95.134758
weak,30492000000,11,10,95.162048
weak,33264000000,12,10,95.279239
